backend,sample_idx,sample_rel,feature_idx,shape,max_abs,mean_abs,p95_abs,cosine,relative_l2
trt_fp32_tf32_disabled,7,val/good/1_838.bmp,1,1x1024x16x16,3.994442522525787e-06,1.8382144162387704e-07,4.917383193969727e-07,0.9999999403953552,2.6968252768710954e-06
trt_fp32_tf32_disabled,7,val/good/1_838.bmp,2,1x1024x16x16,6.103515625e-05,5.723402409785194e-07,1.4826655387878418e-06,1.0,1.8864691355702234e-06
trt_fp32_tf32_disabled,7,val/good/1_838.bmp,3,1x1024x16x16,0.00044155120849609375,5.162763045518659e-06,1.3589859008789062e-05,1.0,2.992797817569226e-06
trt_fp32_tf32_disabled,8,val/good/1_845.bmp,0,1x1024x16x16,3.0643423087894917e-06,6.317719680737355e-08,1.9371509552001953e-07,1.0,1.6720922531021642e-06
trt_fp32_tf32_disabled,8,val/good/1_845.bmp,1,1x1024x16x16,8.374452590942383e-06,1.838834862155636e-07,4.991888999938965e-07,1.0,2.723365696510882e-06
trt_fp32_tf32_disabled,8,val/good/1_845.bmp,2,1x1024x16x16,9.1552734375e-05,5.734348178521032e-07,1.4826655387878418e-06,1.0,1.9763394902838627e-06
trt_fp32_tf32_disabled,8,val/good/1_845.bmp,3,1x1024x16x16,0.0003509521484375,5.7672641560202464e-06,1.537799835205078e-05,1.0000001192092896,3.315715275675757e-06
trt_fp32_tf32_disabled,9,val/good/1_848.bmp,0,1x1024x16x16,3.3490359783172607e-06,6.566918386852194e-08,2.0555307855829597e-07,1.0,1.7541324268677272e-06
trt_fp32_tf32_disabled,9,val/good/1_848.bmp,1,1x1024x16x16,4.0531158447265625e-06,1.8729080863977288e-07,5.112960934638977e-07,1.0,2.7669182145473314e-06
trt_fp32_tf32_disabled,9,val/good/1_848.bmp,2,1x1024x16x16,3.0517578125e-05,5.866835408596671e-07,1.519918441772461e-06,0.9999998807907104,1.9297697235742817e-06
trt_fp32_tf32_disabled,9,val/good/1_848.bmp,3,1x1024x16x16,0.0001773834228515625,5.487519956659526e-06,1.4662742614746094e-05,0.9999999403953552,3.105828454863513e-06
trt_fp32_tf32_disabled,10,test/defect/2_58.bmp,0,1x1024x16x16,4.64683398604393e-06,6.291814713677013e-08,1.9371509552001953e-07,1.0,1.6877208963705925e-06
trt_fp32_tf32_disabled,10,test/defect/2_58.bmp,1,1x1024x16x16,5.811452865600586e-06,1.8078213770422735e-07,4.917383193969727e-07,1.0000001192092896,2.6816064746526536e-06
trt_fp32_tf32_disabled,10,test/defect/2_58.bmp,2,1x1024x16x16,5.340576171875e-05,5.811750156681228e-07,1.5050172805786133e-06,0.9999998807907104,1.913366986627807e-06
trt_fp32_tf32_disabled,10,test/defect/2_58.bmp,3,1x1024x16x16,0.0002899169921875,5.649105332850013e-06,1.4960765838623047e-05,1.0,3.272156845923746e-06
trt_fp32_tf32_disabled,11,test/defect/2_62.bmp,0,1x1024x16x16,4.295259714126587e-06,6.527730533889553e-08,2.0489096641540527e-07,1.0,1.7633749394008191e-06
trt_fp32_tf32_disabled,11,test/defect/2_62.bmp,1,1x1024x16x16,5.692243576049805e-06,1.9036332332689199e-07,5.21540641784668e-07,1.0,2.8104475404688856e-06
trt_fp32_tf32_disabled,11,test/defect/2_62.bmp,2,1x1024x16x16,6.103515625e-05,6.116828217272996e-07,1.6093254089355469e-06,1.0,2.07348307412758e-06
trt_fp32_tf32_disabled,11,test/defect/2_62.bmp,3,1x1024x16x16,0.00052642822265625,5.651525498251431e-06,1.4781951904296875e-05,1.0,3.5734792618313804e-06
trt_fp32_tf32_disabled,12,test/defect/2_63.bmp,0,1x1024x16x16,3.5688281059265137e-06,6.231614690932474e-08,1.8998980522155762e-07,1.0000001192092896,1.6155424873431912e-06
trt_fp32_tf32_disabled,12,test/defect/2_63.bmp,1,1x1024x16x16,4.380941390991211e-06,1.7261449158922915e-07,4.6566128730773926e-07,1.0,2.5311640001746127e-06
trt_fp32_tf32_disabled,12,test/defect/2_63.bmp,2,1x1024x16x16,7.62939453125e-05,5.612022846435138e-07,1.430511474609375e-06,0.9999999403953552,1.933443854795769e-06
trt_fp32_tf32_disabled,12,test/defect/2_63.bmp,3,1x1024x16x16,0.00045013427734375,5.33429738425184e-06,1.4185905456542969e-05,1.0,3.1103877518035006e-06
trt_fp32_tf32_disabled,13,test/defect/2_65.bmp,0,1x1024x16x16,3.928318619728088e-06,6.51830447395696e-08,2.0489096641540527e-07,1.0,1.78815923845832e-06
trt_fp32_tf32_disabled,13,test/defect/2_65.bmp,1,1x1024x16x16,1.0132789611816406e-05,1.8181071936851367e-07,5.066394805908203e-07,0.9999999403953552,2.756317599050817e-06
trt_fp32_tf32_disabled,13,test/defect/2_65.bmp,2,1x1024x16x16,4.00543212890625e-05,5.762415185017744e-07,1.4826655387878418e-06,0.9999999403953552,1.9239209905208554e-06
trt_fp32_tf32_disabled,13,test/defect/2_65.bmp,3,1x1024x16x16,0.0002841949462890625,5.348279046302196e-06,1.4126300811767578e-05,1.0000001192092896,3.109389581368305e-06
trt_fp32_tf32_disabled,14,test/defect/2_72.bmp,0,1x1024x16x16,3.1329691410064697e-06,6.39011545899848e-08,2.0091465557925403e-07,1.0,1.7144964203907875e-06
trt_fp32_tf32_disabled,14,test/defect/2_72.bmp,1,1x1024x16x16,7.718801498413086e-06,1.7873811941626627e-07,4.819594323635101e-07,1.0,2.6365155463281553e-06
trt_fp32_tf32_disabled,14,test/defect/2_72.bmp,2,1x1024x16x16,4.57763671875e-05,5.830127065564739e-07,1.519918441772461e-06,1.0,1.9404819795454387e-06
trt_fp32_tf32_disabled,14,test/defect/2_72.bmp,3,1x1024x16x16,0.00030517578125,5.458873602037784e-06,1.4543533325195312e-05,0.9999998807907104,3.1819186006032396e-06
trt_fp32_tf32_disabled,15,test/defect/2_74.bmp,0,1x1024x16x16,4.353001713752747e-06,6.389460338596109e-08,2.0116567611694336e-07,1.0,1.7648898165134597e-06
trt_fp32_tf32_disabled,15,test/defect/2_74.bmp,1,1x1024x16x16,6.407499313354492e-06,1.834653460264235e-07,5.178153514862061e-07,1.0,2.795021600832115e-06
trt_fp32_tf32_disabled,15,test/defect/2_74.bmp,2,1x1024x16x16,8.392333984375e-05,5.903008286622935e-07,1.5497207641601562e-06,1.0000001192092896,2.0219104044372216e-06
trt_fp32_tf32_disabled,15,test/defect/2_74.bmp,3,1x1024x16x16,0.0008983612060546875,5.575565865001408e-06,1.4960765838623047e-05,0.9999998807907104,3.34468541041133e-06
