method,stage,policy,recall_floor,constraint_satisfied,threshold,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,calib_fp,calib_fn,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_fp,test_fn,auc_roc,auc_pr
ADP-only-DINO,S7,calib_best_f1,,True,1.7078936100006104,0.7058823529411765,0.7346938775510204,0.7200000000000001,0.8120805369127517,0.15,15,13,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.06111111111111111,11,11,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S8,calib_best_f1,,True,1.7078936100006104,0.7058823529411765,0.7346938775510204,0.7200000000000001,0.8120805369127517,0.15,15,13,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.06111111111111111,11,11,0.9690476190476192,0.9150818859353809
YOLO26s-eval,S1,calib_best_f1_with_recall_ge_0.90,0.9,True,1.5784067727508955e-05,0.3288590604026846,1.0,0.494949494949495,0.3288590604026846,1.0,100,0,0.28112449799196787,1.0,0.438871473354232,0.284,0.9944444444444445,179,0,0.8905555555555555,0.8139237761325596
YOLO26s-eval,S2,calib_best_f1_with_recall_ge_0.90,0.9,True,0.001980328233912587,0.41284403669724773,0.9183673469387755,0.5696202531645569,0.5436241610738255,0.64,64,4,0.4397163120567376,0.8857142857142857,0.5876777251184835,0.652,0.4388888888888889,79,8,0.8552380952380952,0.7986952195334793
YOLO26s-eval,S3,calib_best_f1_with_recall_ge_0.85,0.85,True,0.00222780997864902,0.40384615384615385,0.8571428571428571,0.5490196078431373,0.5369127516778524,0.62,62,7,0.336734693877551,0.9428571428571428,0.4962406015037593,0.464,0.7222222222222222,130,4,0.8743650793650793,0.8566468309880539
YOLO26s-eval,S4,calib_best_f1_with_recall_ge_0.85,0.85,True,0.0006768786697648466,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.5771812080536913,0.56,56,7,0.52,0.9285714285714286,0.6666666666666666,0.74,0.3333333333333333,60,5,0.9236507936507936,0.9022927660977198
YOLO26s-eval,S5,calib_best_f1_with_recall_ge_0.85,0.85,True,0.0016630174359306693,0.4387755102040816,0.8775510204081632,0.585034013605442,0.5906040268456376,0.55,55,6,0.46206896551724136,0.9571428571428572,0.6232558139534884,0.676,0.43333333333333335,78,3,0.936984126984127,0.9168763140109727
YOLO26s-eval,S6,calib_best_f1_with_recall_ge_0.85,0.85,True,0.022553298622369766,0.6571428571428571,0.9387755102040817,0.773109243697479,0.8187919463087249,0.24,24,3,0.7727272727272727,0.9714285714285714,0.8607594936708862,0.912,0.1111111111111111,20,2,0.9817460317460318,0.9697081593078708
YOLO26s-eval,S7,calib_best_f1,,True,0.26151829957962036,0.8863636363636364,0.7959183673469388,0.8387096774193548,0.8993288590604027,0.05,5,10,0.8955223880597015,0.8571428571428571,0.8759124087591241,0.932,0.03888888888888889,7,10,0.9673809523809525,0.9464235760579535
YOLO26s-eval,S8,calib_best_f1,,True,0.4311862885951996,0.8888888888888888,0.8163265306122449,0.851063829787234,0.9060402684563759,0.05,5,9,0.8985507246376812,0.8857142857142857,0.8920863309352518,0.94,0.03888888888888889,7,8,0.9789682539682538,0.963753158683637
