Iteration,Stage,Method,Threshold,Calib P,Calib R,Calib F1,Calib FPR,Constraint satisfied,P,R,F1,Acc,TP,FP,TN,FN
7,S5,AHL-DINO,0.41484314,0.5,0.9591836734693877,0.6573426573426573,0.47,True,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,65,36,144,5
7,S5,bridge_alpha_0.35,2.2217775440656613,0.75,0.8571428571428571,0.7999999999999999,0.14,True,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,59,8,172,11
8,S5,ADP-only-DINO,1.5180679559707642,0.56,0.8571428571428571,0.6774193548387096,0.33,True,0.7674418604651163,0.9428571428571428,0.8461538461538461,0.904,66,20,160,4
8,S5,AHL-DINO,0.4400655,0.5180722891566265,0.8775510204081632,0.6515151515151514,0.4,True,0.7209302325581395,0.8857142857142857,0.7948717948717948,0.872,62,24,156,8
8,S5,bridge_alpha_0.35,2.285764979747934,0.8148148148148148,0.8979591836734694,0.8543689320388349,0.1,True,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,59,8,172,11
9,S5,ADP-only-DINO,1.3925561904907227,0.6056338028169014,0.8775510204081632,0.7166666666666666,0.28,True,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,69,35,145,1
9,S5,AHL-DINO,0.41484314,0.4845360824742268,0.9591836734693877,0.6438356164383561,0.5,True,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,65,36,144,5
9,S5,bridge_alpha_0.35,1.8033917465153972,0.7543859649122807,0.8775510204081632,0.8113207547169812,0.14,True,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,64,9,171,6
10,S5,ADP-only-DINO,1.5180679559707642,0.6470588235294118,0.8979591836734694,0.7521367521367522,0.24,True,0.7674418604651163,0.9428571428571428,0.8461538461538461,0.904,66,20,160,4
10,S5,AHL-DINO,0.4400655,0.5301204819277109,0.8979591836734694,0.6666666666666667,0.39,True,0.7209302325581395,0.8857142857142857,0.7948717948717948,0.872,62,24,156,8
10,S5,bridge_alpha_0.35,2.2217775440656613,0.84,0.8571428571428571,0.8484848484848485,0.08,True,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,59,8,172,11
