stage,alpha,threshold,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_tp,test_fp,test_tn,test_fn,auc_roc,auc_pr
S5,0.65,3.5085896900755067,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.8590604026845637,0.08,0.8870967741935484,0.7857142857142857,0.8333333333333333,0.912,0.03888888888888889,55,7,173,15,0.9793650793650793,0.9371227739866617
S5,0.66,2.8125928284445925,0.7916666666666666,0.7755102040816326,0.7835051546391752,0.8590604026845637,0.1,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9792063492063492,0.9366595148105746
S5,0.67,2.862739923068061,0.7916666666666666,0.7755102040816326,0.7835051546391752,0.8590604026845637,0.1,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9792857142857143,0.9371031102756803
S5,0.68,2.8766973945424565,0.7916666666666666,0.7755102040816326,0.7835051546391752,0.8590604026845637,0.1,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9791269841269841,0.9372562875170388
S5,0.69,2.885680522019055,0.7916666666666666,0.7755102040816326,0.7835051546391752,0.8590604026845637,0.1,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9788888888888889,0.9366563782766877
S5,0.7,2.894663649495654,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.8523489932885906,0.11,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9785714285714285,0.9350665321780309
S5,0.71,2.9036467769722525,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.8523489932885906,0.11,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9783333333333333,0.9343447133280313
S5,0.72,3.1134753961854025,0.7872340425531915,0.7551020408163265,0.7708333333333333,0.8523489932885906,0.1,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.03888888888888889,58,7,173,12,0.9782539682539683,0.9343618947422214
S5,0.73,3.163622490808871,0.7872340425531915,0.7551020408163265,0.7708333333333333,0.8523489932885906,0.1,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.03888888888888889,58,7,173,12,0.9779365079365079,0.9335139818841045
S5,0.74,3.1883310211255704,0.7872340425531915,0.7551020408163265,0.7708333333333333,0.8523489932885906,0.1,0.890625,0.8142857142857143,0.8507462686567163,0.92,0.03888888888888889,57,7,173,13,0.9778571428571428,0.9333308437478796
S5,0.75,3.117983591129113,0.7872340425531915,0.7551020408163265,0.7708333333333333,0.8523489932885906,0.1,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9777777777777777,0.9336034023117941
S5,0.76,3.0476361611326555,0.7708333333333334,0.7551020408163265,0.7628865979381444,0.8456375838926175,0.11,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.044444444444444446,59,8,172,11,0.9774603174603174,0.9324754210997765
S5,0.77,2.957545541831845,0.7450980392156863,0.7755102040816326,0.76,0.8389261744966443,0.13,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.044444444444444446,59,8,172,11,0.9771428571428571,0.9313668248503197
S5,0.78,2.9069413011397414,0.7450980392156863,0.7755102040816326,0.76,0.8389261744966443,0.13,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.044444444444444446,59,8,172,11,0.9769047619047619,0.9312915412131075
S5,0.79,3.284356232356644,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8456375838926175,0.1,0.8888888888888888,0.8,0.8421052631578948,0.916,0.03888888888888889,56,7,173,14,0.9765079365079365,0.930358539584416
S5,0.8,3.2683395568052966,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8456375838926175,0.1,0.8888888888888888,0.8,0.8421052631578948,0.916,0.03888888888888889,56,7,173,14,0.9764285714285714,0.9301027253425653
S5,0.81,3.2523228812539493,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8456375838926175,0.1,0.8888888888888888,0.8,0.8421052631578948,0.916,0.03888888888888889,56,7,173,14,0.975952380952381,0.9285155596446929
S5,0.82,3.002461179214838,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9757142857142858,0.9278490079078776
S5,0.83,3.0114443066914367,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9754761904761905,0.9274862123023033
S5,0.84,3.0204274341680355,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9751587301587301,0.9268482560850788
S5,0.85,3.0294105616446343,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9746031746031747,0.9255235053706572
S5,0.86,3.0383936891212326,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9745238095238096,0.9253917606118074
S5,0.87,3.0473768165978314,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8769230769230769,0.8142857142857143,0.8444444444444444,0.916,0.044444444444444446,57,8,172,13,0.9741269841269841,0.924361110367387
S5,0.88,3.0563599440744307,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.974047619047619,0.9244226402904006
S5,0.89,3.065343071551029,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9737301587301587,0.9240305387485626
S5,0.9,3.074326199027628,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8787878787878788,0.8285714285714286,0.8529411764705883,0.92,0.044444444444444446,58,8,172,12,0.9734126984126984,0.9234728213993217
S5,0.91,3.083309326504226,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8636363636363636,0.8142857142857143,0.8382352941176471,0.912,0.05,57,9,171,13,0.9727777777777777,0.9225231501496672
S5,0.92,3.0707901566268534,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8636363636363636,0.8142857142857143,0.8382352941176471,0.912,0.05,57,9,171,13,0.9723015873015873,0.9201196726177491
S5,0.93,3.0348608018643315,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8656716417910447,0.8285714285714286,0.8467153284671534,0.916,0.05,58,9,171,12,0.9719841269841271,0.9188875892794786
S5,0.94,2.99893144710181,0.74,0.7551020408163265,0.7474747474747474,0.8322147651006712,0.13,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.05555555555555555,58,10,170,12,0.9716666666666667,0.9185977982622048
S5,0.95,2.963002092339288,0.7254901960784313,0.7551020408163265,0.74,0.825503355704698,0.14,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.05555555555555555,58,10,170,12,0.9712698412698413,0.918256304367962
S5,0.96,2.927072737576766,0.7115384615384616,0.7551020408163265,0.7326732673267328,0.8187919463087249,0.15,0.855072463768116,0.8428571428571429,0.8489208633093526,0.916,0.05555555555555555,59,10,170,11,0.971031746031746,0.9175926174041571
S5,0.97,2.890942399276491,0.7115384615384616,0.7551020408163265,0.7326732673267328,0.8187919463087249,0.15,0.855072463768116,0.8428571428571429,0.8489208633093526,0.916,0.05555555555555555,59,10,170,11,0.9705555555555555,0.9165825376858235
S5,0.98,2.8124704594539782,0.7115384615384616,0.7551020408163265,0.7326732673267328,0.8187919463087249,0.15,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.06111111111111111,59,11,169,11,0.9706349206349205,0.9176433973629956
S5,0.99,2.7339985196314665,0.7115384615384616,0.7551020408163265,0.7326732673267328,0.8187919463087249,0.15,0.8450704225352113,0.8571428571428571,0.851063829787234,0.916,0.06111111111111111,60,11,169,10,0.9698412698412698,0.9163692219165492
S5,1.0,2.783355318526678,0.7058823529411765,0.7346938775510204,0.7200000000000001,0.8120805369127517,0.15,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.06111111111111111,59,11,169,11,0.9690476190476192,0.9150818859353809
S6,0.0,2.3969523315299517,0.7954545454545454,0.7142857142857143,0.7526881720430106,0.8456375838926175,0.09,0.9074074074074074,0.7,0.7903225806451613,0.896,0.027777777777777776,49,5,175,21,0.955952380952381,0.9191105517393378
S6,0.01,2.4332748208926906,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9245283018867925,0.7,0.7967479674796748,0.9,0.022222222222222223,49,4,176,21,0.9580158730158731,0.9209087178739089
S6,0.02,2.4695973102554305,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9245283018867925,0.7,0.7967479674796748,0.9,0.022222222222222223,49,4,176,21,0.9606349206349207,0.9227453140220604
S6,0.03,2.5059197996181695,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9245283018867925,0.7,0.7967479674796748,0.9,0.022222222222222223,49,4,176,21,0.9631746031746032,0.924510561099578
S6,0.04,2.511445052230519,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9245283018867925,0.7,0.7967479674796748,0.9,0.022222222222222223,49,4,176,21,0.964920634920635,0.9256800207531284
S6,0.05,2.500626101182876,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9245283018867925,0.7,0.7967479674796748,0.9,0.022222222222222223,49,4,176,21,0.9669841269841271,0.9275594925803653
S6,0.06,2.4898071501352326,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9259259259259259,0.7142857142857143,0.8064516129032259,0.904,0.022222222222222223,50,4,176,20,0.9684126984126984,0.9286930333558289
S6,0.07,2.478988199087589,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9090909090909091,0.7142857142857143,0.8,0.9,0.027777777777777776,50,5,175,20,0.9697619047619048,0.9300313470494975
S6,0.08,2.4516464467907726,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9107142857142857,0.7285714285714285,0.8095238095238095,0.904,0.027777777777777776,51,5,175,19,0.9710317460317459,0.9309146212612553
S6,0.09,2.420006281236267,0.7954545454545454,0.7142857142857143,0.7526881720430106,0.8456375838926175,0.09,0.9107142857142857,0.7285714285714285,0.8095238095238095,0.904,0.027777777777777776,51,5,175,19,0.9720634920634921,0.931944810258895
S6,0.1,2.3883661156817615,0.7954545454545454,0.7142857142857143,0.7526881720430106,0.8456375838926175,0.09,0.9107142857142857,0.7285714285714285,0.8095238095238095,0.904,0.027777777777777776,51,5,175,19,0.9738095238095237,0.9343704559389406
S6,0.11,2.356725950127256,0.7954545454545454,0.7142857142857143,0.7526881720430106,0.8456375838926175,0.09,0.9107142857142857,0.7285714285714285,0.8095238095238095,0.904,0.027777777777777776,51,5,175,19,0.9744444444444444,0.9347854091542043
S6,0.12,2.3250857845727504,0.7954545454545454,0.7142857142857143,0.7526881720430106,0.8456375838926175,0.09,0.9107142857142857,0.7285714285714285,0.8095238095238095,0.904,0.027777777777777776,51,5,175,19,0.9756349206349206,0.9365389850856894
