method,stage,policy,status,reason,accuracy,precision,recall,time_ms,f1,tp,fp,tn,fn,auc_roc,auc_pr,threshold,calib_threshold,calib_precision,calib_recall,calib_f1,calib_fpr,source_policy,selection_rule,policy_family,metrics_json,score_file
AHL_plain_ADPretrain,S2,strategy_balanced_f1,ok,,0.8725868725868726,0.896551724137931,0.6582278481012658,3876124.412853271,0.759124087591241,52,6,174,27,0.9431786216596343,0.8868944062818346,0.3615219295024872,0.3615219295024872,0.8048780487804879,0.825,0.8148148148148149,,,validation_best_f1,strategy_balanced,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/scores.csv
AHL_plain_ADPretrain,S3,production_normal_p95,ok,,0.8764478764478765,0.9272727272727272,0.6455696202531646,3250976.7528623343,0.7611940298507464,51,4,176,28,0.9244022503516175,0.8793358268853829,0.39785471074283124,0.39785471074283124,0.8571428571428571,0.75,0.7999999999999999,,,,production_normal_percentile,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/scores.csv
AHL_plain_ADPretrain,S3,strategy_stage_adaptive,ok,,0.305019305019305,0.305019305019305,1.0,3250976.7528623343,0.46745562130177515,79,180,0,0,0.9244022503516175,0.8793358268853829,0.1558942347764969,0.1558942347764969,0.2857142857142857,1.0,0.4444444444444445,,strategy_recall_first_r95,min_threshold_with_recall_floor,strategy_stage_adaptive,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/scores.csv
AHL_plain_ADPretrain,S3,strategy_mild_stage_v2,ok,,0.888030888030888,0.890625,0.7215189873417721,3250976.7528623343,0.7972027972027972,57,7,173,22,0.9244022503516175,0.8793358268853829,0.35179056972265244,0.35179056972265244,0.68,0.85,0.7555555555555556,0.16,mild_recall85_fpr10,fallback_max_f1_with_recall_floor,strategy_mild_stage_v2,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/scores.csv
AHL_plain_ADPretrain,S3,strategy_stage_v3,ok,,0.8764478764478765,0.7640449438202247,0.8607594936708861,3250976.7528623343,0.8095238095238095,68,21,159,11,0.9244022503516175,0.8793358268853829,0.31080158054828644,0.31080158054828644,0.5538461538461539,0.9,0.6857142857142857,,recall_at_95_highest_threshold,highest_threshold_with_recall_floor,strategy_stage_v3_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/scores.csv
AHL_plain_ADPretrain,S3,recall_at_95_highest_threshold,ok,,0.8764478764478765,0.7640449438202247,0.8607594936708861,3250976.7528623343,0.8095238095238095,68,21,159,11,0.9244022503516175,0.8793358268853829,0.31080158054828644,0.31080158054828644,0.5538461538461539,0.9,0.6857142857142857,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/scores.csv
AHL_plain_ADPretrain,S3,recall_at_90_highest_threshold,ok,,0.888030888030888,0.890625,0.7215189873417721,3250976.7528623343,0.7972027972027972,57,7,173,22,0.9244022503516175,0.8793358268853829,0.35179056972265244,0.35179056972265244,0.68,0.85,0.7555555555555556,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/scores.csv
AHL_plain_ADPretrain,S3,strategy_balanced_f1,ok,,0.8687258687258688,0.9245283018867925,0.620253164556962,3250976.7528623343,0.7424242424242424,49,4,176,30,0.9244022503516175,0.8793358268853829,0.4081982374191284,0.4081982374191284,0.8823529411764706,0.75,0.8108108108108107,,,validation_best_f1,strategy_balanced,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S3/metrics/scores.csv
AHL_plain_ADPretrain,S4,production_normal_p95,ok,,0.8571428571428571,0.9375,0.569620253164557,3775593.153730035,0.7086614173228347,45,3,177,34,0.8883263009845288,0.844429224860824,0.4300423271022737,0.4300423271022737,0.8484848484848485,0.7,0.7671232876712328,,,,production_normal_percentile,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/scores.csv
AHL_plain_ADPretrain,S4,strategy_stage_adaptive,ok,,0.3281853281853282,0.3107569721115538,0.9873417721518988,3775593.153730035,0.4727272727272727,78,173,7,1,0.8883263009845288,0.844429224860824,0.2241966724395752,0.2241966724395752,0.2857142857142857,1.0,0.4444444444444445,,strategy_recall_first_r95,min_threshold_with_recall_floor,strategy_stage_adaptive,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/scores.csv
AHL_plain_ADPretrain,S4,strategy_mild_stage_v2,ok,,0.8841698841698842,0.8656716417910447,0.7341772151898734,3775593.153730035,0.7945205479452054,58,9,171,21,0.8883263009845288,0.844429224860824,0.3606254532933235,0.3606254532933235,0.7083333333333334,0.85,0.7727272727272727,0.14,mild_recall85_fpr10,fallback_max_f1_with_recall_floor,strategy_mild_stage_v2,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/scores.csv
AHL_plain_ADPretrain,S4,strategy_stage_v3,ok,,0.7683397683397684,0.5798319327731093,0.8734177215189873,3775593.153730035,0.696969696969697,69,50,130,10,0.8883263009845288,0.844429224860824,0.29232092574238777,0.29232092574238777,0.391304347826087,0.9,0.5454545454545454,,recall_at_95_highest_threshold,highest_threshold_with_recall_floor,strategy_stage_v3_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/scores.csv
AHL_plain_ADPretrain,S4,recall_at_95_highest_threshold,ok,,0.7683397683397684,0.5798319327731093,0.8734177215189873,3775593.153730035,0.696969696969697,69,50,130,10,0.8883263009845288,0.844429224860824,0.29232092574238777,0.29232092574238777,0.391304347826087,0.9,0.5454545454545454,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/scores.csv
AHL_plain_ADPretrain,S4,recall_at_90_highest_threshold,ok,,0.8841698841698842,0.8656716417910447,0.7341772151898734,3775593.153730035,0.7945205479452054,58,9,171,21,0.8883263009845288,0.844429224860824,0.3606254532933235,0.3606254532933235,0.7083333333333334,0.85,0.7727272727272727,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/scores.csv
AHL_plain_ADPretrain,S4,strategy_balanced_f1,ok,,0.8648648648648649,0.8928571428571429,0.6329113924050633,3775593.153730035,0.7407407407407407,50,6,174,29,0.8883263009845288,0.844429224860824,0.39608705043792725,0.39608705043792725,0.7948717948717948,0.775,0.7848101265822786,,,validation_best_f1,strategy_balanced,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S4/metrics/scores.csv
AHL_plain_ADPretrain,S5,production_normal_p95,ok,,0.861003861003861,0.9056603773584906,0.6075949367088608,4233165.346100926,0.7272727272727274,48,5,175,31,0.9372011251758088,0.8810721200020646,0.5287392637692392,0.5287392637692392,0.8529411764705882,0.725,0.7837837837837837,,,,production_normal_percentile,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S5/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S5/metrics/scores.csv
AHL_plain_ADPretrain,S5,strategy_stage_adaptive,ok,,0.3088803088803089,0.3062015503875969,1.0,4233165.346100926,0.46884272997032633,79,179,1,0,0.9372011251758088,0.8810721200020646,0.3026873916387558,0.3026873916387558,0.2857142857142857,1.0,0.4444444444444445,,strategy_recall_first_r90,min_threshold_with_recall_floor,strategy_stage_adaptive,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S5/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S5/metrics/scores.csv
AHL_plain_ADPretrain,S5,strategy_mild_stage_v2,ok,,0.8957528957528957,0.8823529411764706,0.759493670886076,4233165.346100926,0.8163265306122449,60,8,172,19,0.9372011251758088,0.8810721200020646,0.44921481795609,0.44921481795609,0.7142857142857143,0.875,0.7865168539325842,0.14,mild_recall85_fpr10,fallback_max_f1_with_recall_floor,strategy_mild_stage_v2,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S5/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S5/metrics/scores.csv
