backend,threshold_mode,method,stage,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S4,0.6,1.8614954855145847,0.8666666666666667,0.9285714285714286,0.896551724137931,0.94,0.9785714285714286,0.9333428686163909,65,10,170,5
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S5,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S5,,1.3925561904907227,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,0.9647619047619047,0.9046693689589801,69,34,146,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S5,,0.4376151,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,0.944047619047619,0.9059148331323722,62,25,155,8
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S5,,0.4376151,0.7402597402597403,0.8142857142857143,0.7755102040816325,0.868,0.9221428571428573,0.8795529604475308,57,20,160,13
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S5,0.35,1.7830212442567703,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.9803174603174603,0.9410750894911254,64,9,171,6
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S5,0.35,1.7830212442567703,0.8873239436619719,0.9,0.8936170212765958,0.94,0.98,0.9404559117205382,63,8,172,7
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S6,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S6,,1.3925561904907227,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,0.9647619047619047,0.9046693689589801,69,34,146,1
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S6,,0.50008345,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.955952380952381,0.9191105517393378,66,30,150,4
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S6,,0.50008345,0.7837837837837838,0.8285714285714286,0.8055555555555555,0.888,0.9318253968253969,0.8897580939920892,58,16,164,12
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S6,0.35,2.17605756975357,0.875,0.9,0.8873239436619719,0.936,0.9825396825396826,0.9470662908317473,63,9,171,7
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S6,0.35,2.17605756975357,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.9811111111111112,0.9428923429666782,60,8,172,10
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S7,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
