method,stage,cpu_f1,gpu_f1,delta_f1_gpu_minus_cpu,cpu_recall,gpu_recall,delta_recall_gpu_minus_cpu,cpu_auc_pr,gpu_auc_pr,delta_auc_pr_gpu_minus_cpu,cpu_threshold,gpu_threshold,aligned_test,score_abs_median,score_abs_p95,pred_changed_self,pred_changed_fixed_cpu_thr,cpu_delta_f1_vs_v2,gpu_delta_f1_vs_v2
ADP-only-DINO,S5,0.7931034482758621,0.8322981366459627,0.03919468837010065,0.9857142857142858,0.9571428571428572,-0.02857142857142858,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.3925561904907227,1.4569981098175049,250,0.011993408203125,0.08966954350471495,13,5,0.0,0.03919468837010065
AHL-DINO,S5,0.7898089171974522,0.6310679611650486,-0.15874095603240357,0.8857142857142857,0.9285714285714286,0.04285714285714293,0.9059148331323722,0.8795529604475308,-0.02636187268484136,0.4376151,0.38591564,250,0.050376625000000036,0.10321882549999996,55,26,0.0,-0.15874095603240357
ADP-AHL-bridge-v2,S5,0.8951048951048951,0.9014084507042254,0.006303555599330268,0.9142857142857143,0.9142857142857143,0.0,0.9410750894911254,0.9404559117205382,-0.0006191777705871759,1.7830212442567703,1.7739635554171098,250,0.377877901387204,1.250366420036364,5,4,0.0,0.006303555599330268
ADP-only-DINO,S6,0.7931034482758621,0.8322981366459627,0.03919468837010065,0.9857142857142858,0.9571428571428572,-0.02857142857142858,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.3925561904907227,1.4569981098175049,250,0.011993408203125,0.08966954350471495,13,5,0.0,0.03919468837010065
AHL-DINO,S6,0.7951807228915663,0.7065217391304348,-0.08865898376113146,0.9428571428571428,0.9285714285714286,-0.014285714285714235,0.9191105517393378,0.8897580939920892,-0.029352457747248595,0.50008345,0.46203592,250,0.05530247000000002,0.28362561999999997,44,28,0.0,-0.08865898376113146
ADP-AHL-bridge-v2,S6,0.8873239436619719,0.9027777777777779,0.015453834115806031,0.9,0.9285714285714286,0.02857142857142858,0.9470662908317473,0.9428923429666782,-0.004173947865069083,2.17605756975357,1.6129920183176925,250,0.45174353605661316,1.2785480928993733,8,8,0.0,0.015453834115806031
ADP-only-DINO,S7,0.8428571428571429,0.8405797101449276,-0.002277432712215255,0.8428571428571429,0.8285714285714286,-0.014285714285714235,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.7078936100006104,1.7468479871749878,250,0.011993408203125,0.08966954350471495,2,0,0.0,-0.002277432712215255
AHL-DINO,S7,0.7899159663865546,0.8358208955223881,0.04590492913583355,0.6714285714285714,0.8,0.12857142857142867,0.9117651201420736,0.8999541437259194,-0.01181097641615414,0.5805198,0.4394126,250,0.06295645,0.17228422049999972,15,10,0.0,0.04590492913583355
ADP-AHL-bridge-v2,S7,0.8676470588235294,0.8714285714285714,0.0037815126050420034,0.8428571428571429,0.8714285714285714,0.02857142857142858,0.942827778834465,0.951491271898498,0.008663493064033023,2.4641474573623876,1.926465871003336,250,0.4897036069313986,1.821537411998129,8,9,0.0,0.0037815126050420034
ADP-only-DINO,S8,0.8428571428571429,0.8405797101449276,-0.002277432712215255,0.8428571428571429,0.8285714285714286,-0.014285714285714235,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.7078936100006104,1.7468479871749878,250,0.011993408203125,0.08966954350471495,2,0,0.0,-0.002277432712215255
AHL-DINO,S8,0.823529411764706,0.6909090909090908,-0.13262032085561515,0.8,0.5428571428571428,-0.25714285714285723,0.8881426079716889,0.8886979914120792,0.0005553834403903002,0.4777651,0.58820677,250,0.041186885000000034,0.11317952899999996,28,15,0.0,-0.13262032085561515
ADP-AHL-bridge-v2,S8,0.8592592592592593,0.7906976744186046,-0.06856158484065467,0.8285714285714286,0.7285714285714285,-0.10000000000000009,0.9276070419018873,0.9360389014024447,0.00843185950055747,2.9384913785918236,3.0358373245256813,250,0.26134843212112346,1.065124783567377,8,5,0.0,-0.06856158484065467
