backend,threshold_mode,method,stage,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn,v2_f1,v2_recall,v2_auc_pr,delta_f1_vs_v2,delta_recall_vs_v2,delta_auc_pr_vs_v2
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S7,,1.7468479871749878,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.9647619047619047,0.9046693689589801,58,10,170,12,0.8428571428571429,0.8428571428571429,0.9150818859353809,-0.002277432712215255,-0.014285714285714235,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S7,,0.5805198,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.9515079365079364,0.9117651201420736,47,2,178,23,0.7899159663865546,0.6714285714285714,0.9117651201420736,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S7,,0.4394126,0.875,0.8,0.8358208955223881,0.912,0.9328571428571428,0.8999541437259194,56,8,172,14,0.7899159663865546,0.6714285714285714,0.9117651201420736,0.04590492913583355,0.12857142857142867,-0.01181097641615414
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S7,0.35,2.4641474573623876,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9811111111111112,0.942827778834465,59,7,173,11,0.8676470588235294,0.8428571428571429,0.942827778834465,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S7,0.35,1.926465871003336,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.928,0.9826190476190476,0.951491271898498,61,9,171,9,0.8676470588235294,0.8428571428571429,0.942827778834465,0.0037815126050420034,0.02857142857142858,0.008663493064033023
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S8,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11,0.8428571428571429,0.8428571428571429,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S8,,1.7468479871749878,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.9647619047619047,0.9046693689589801,58,10,170,12,0.8428571428571429,0.8428571428571429,0.9150818859353809,-0.002277432712215255,-0.014285714285714235,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S8,,0.4777651,0.8484848484848485,0.8,0.823529411764706,0.904,0.9361904761904762,0.8881426079716889,56,10,170,14,0.823529411764706,0.8,0.8881426079716889,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S8,,0.58820677,0.95,0.5428571428571428,0.6909090909090908,0.864,0.9248412698412697,0.8886979914120792,38,2,178,32,0.823529411764706,0.8,0.8881426079716889,-0.13262032085561515,-0.25714285714285723,0.0005553834403903002
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S8,0.7,2.9384913785918236,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.9761111111111112,0.9276070419018873,58,7,173,12,0.8592592592592593,0.8285714285714286,0.9276070419018873,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S8,0.7,3.0358373245256813,0.864406779661017,0.7285714285714285,0.7906976744186046,0.892,0.9780158730158731,0.9360389014024447,51,8,172,19,0.8592592592592593,0.8285714285714286,0.9276070419018873,-0.06856158484065467,-0.10000000000000009,0.00843185950055747
